name,address,lat,lon,phone,homepage
서울특별시,중구 세종대로 110,37.566370776634,126.977918351844,120,seoul.go.kr
종로구,종로구 삼봉로 43,,,2148-1114,jongno.go.kr
중구,중구 창경궁로 17,37.5641201543296,126.998009728978,3396-4114,junggu.seoul.kr
용산구,용산구 녹사평대로 150,37.5324522944579,126.990478820837,2199-6114,yongsan.go.kr
성동구,성동구 고산자로 270,37.5634225092469,127.036964999975,2286-5114,sd.go.kr
광진구,광진구 자양로 117,37.5385316143438,127.081909826352,450-1114,gwangjin.go.kr
동대문구,동대문구 천호대로 145,37.5743917161622,127.039896580148,2127-5000,ddm.go.kr
중랑구,중랑구 봉화산로 179,37.6065635856848,127.09272484193,2094-0114,jungnang.go.kr
성북구,성북구 보문로 168,37.5894551333062,127.016690019544,2241-3114,seongbuk.go.kr
강북구,강북구 도봉로89길 13,37.6391856183931,127.025449504014,901-6114,gangbuk.go.kr
도봉구,도봉구 마들로 656,37.6687161285201,127.047131400119,2091-2120,dobong.go.kr
노원구,노원구 노해로 437,37.6545228397157,127.056268317802,2116-3114,nowon.kr
은평구,은평구 은평로 195,37.6024574203071,126.928822870137,351-6114,ep.go.kr
서대문구,서대문구 연희로 248,37.5791546257808,126.936759175119,330-1114,sdm.go.kr
마포구,마포구 월드컵로 212,37.5663128370109,126.901615668932,3153-8114,mapo.go.kr
양천구,양천구 목동동로 105,37.5170753784215,126.866542541936,2620-3114,yangcheon.go.kr
강서구,강서구 화곡로 302,37.5509655144007,126.849532173376,2600-6114,gangseo.seoul.kr
구로구,구로구 가마산로 245,37.4955054632154,126.888292375229,860-2114,guro.go.kr
금천구,금천구 시흥대로73길 70,37.4570656519531,126.896036850324,2627-2114,geumcheon.go.kr
영등포구,영등포구 당산로 123,37.525963157053,126.896367130558,2670-3114,ydp.go.kr
동작구,동작구 장승배기로 161,37.5125280436834,126.939941979538,820-1114,dongjak.go.kr
관악구,관악구 관악로 145,37.4782106746327,126.951501244173,879-5000,gwanak.go.kr
