"시도, 시군구 사무소 소재지 ",,,,
;[1],,,,
구분,소      재      지,우편번호,대표전화,홈페이지 (www.-.-.-)
서울특별시,중구 세종대로 110,4524,120,seoul.go.kr
,,,,
종로구,종로구 삼봉로 43,3153,2148-1114,jongno.go.kr
중구,중구 창경궁로 17,4558,3396-4114,junggu.seoul.kr
용산구,용산구 녹사평대로 150,4390,2199-6114,yongsan.go.kr
성동구,성동구 고산자로 270,4750,2286-5114,sd.go.kr
광진구,광진구 자양로 117,5026,450-1114,gwangjin.go.kr
동대문구,동대문구 천호대로 145,2565,2127-5000,ddm.go.kr
중랑구,중랑구 봉화산로 179,2043,2094-0114,jungnang.go.kr
성북구,성북구 보문로 168,2848,2241-3114,seongbuk.go.kr
강북구,강북구 도봉로89길 13,1071,901-6114,gangbuk.go.kr
도봉구,도봉구 마들로 656,1331,2091-2120,dobong.go.kr
노원구,노원구 노해로 437,1689,2116-3114,nowon.kr
은평구,은평구 은평로 195,3384,351-6114,ep.go.kr
서대문구,서대문구 연희로 248,3718,330-1114,sdm.go.kr
마포구,마포구 월드컵로 212,3937,3153-8114,mapo.go.kr
양천구,양천구 목동동로 105,8095,2620-3114,yangcheon.go.kr
강서구,강서구 화곡로 302,7658,2600-6114,gangseo.seoul.kr
구로구,구로구 가마산로 245,8284,860-2114,guro.go.kr
금천구,금천구 시흥대로73길 70,8611,2627-2114,geumcheon.go.kr
영등포구,영등포구 당산로 123,7260,2670-3114,ydp.go.kr
동작구,동작구 장승배기로 161,6928,820-1114,dongjak.go.kr
관악구,관악구 관악로 145,8832,879-5000,gwanak.go.kr
서초구,서초구 남부순환로 2584,6750,2155-6114,seocho.go.kr
강남구,강남구 학동로 426,6090,3423-5114,gangnam.go.kr
;,,,,
,,,,
,,,,
;[2],,,,
구분,소      재      지,우편번호,대표전화,홈페이지 (www.-.-.-)
송파구,송파구 올림픽로 326,5552,2147-2000,songpa.go.kr
강동구,강동구 성내로 25,5397,1577-1188,gangdong.go.kr
,,,,
부산광역시,연제구 중앙대로 1001,47545,(051)120,busan.go.kr
,,,,
중구,중구 중구로 120,48926,600-4000,bsjunggu.go.kr
서구,서구 구덕로 120,49247,240-4000,bsseogu.go.kr
동구,동구 구청로 1,48781,466-7191,bsdonggu.go.kr
영도구,영도구 태종로 423,49011,419-4000,yeongdo.go.kr
부산진구,부산진구 시민공원로 30,47193,605-4000,busanjin.go.kr
동래구,동래구 명륜로 94번길 55,47808,550-4000,dongnae.go.kr
남구,남구 못골로 19,48452,607-4000,bsnamgu.go.kr
북구,북구 낙동대로 1570번길 33,46504,309-4000,bsbukgu.go.kr
해운대구,해운대구 중동2로 11,48095,749-4000,haeundae.go.kr
사하구,사하구 낙동대로 398번길 12,49328,220-4000,saha.go.kr
금정구,금정구 중앙대로 1777,46274,519-4000,geumjeong.go.kr
강서구,강서구 낙동북로 477,46702,970-4000,bsgangseo.go.kr
연제구,연제구 연제로 2,47605,665-4000,yeonje.go.kr
수영구,수영구 남천동로 100,48305,610-4000,suyeong.go.kr
사상구,사상구 학감대로 242,46985,310-4000,sasang.go.kr
기장군,기장군 기장읍 기장대로 560,46077,709-4000,gijang.go.kr
,,,,
대구광역시,중구 공평로 88 ,41911,(053)120,daegu.go.kr
,,,,
중구,중구 국채보상로 139길1 ,41908,661-2000,jung.daegu.kr
동구,동구 아양로 207 ,41185,662-2000,dong.daegu.kr
;,,,,
,,,,
,,,,
;[3],,,,
구분,소      재      지,우편번호,대표전화,홈페이지 (www.-.-.-)
서구,서구 국채보상로 257,41777,663-2000,dgs.go.kr
남구,남구 이천로 51,42429,664-2000,nam.daegu.kr
북구,북구 옥산로 65 ,41590,665-2000,buk.daegu.kr
수성구,수성구 달구벌대로 2450,42086,666-2000,suseong.kr
달서구,달서구 학산로 45 ,42731,667-2000,dalseo.daegu.kr
달성군,달성군 논공읍 달성군청로 33,42974,668-2000,dalseong.daegu.kr
,,,,
인천광역시,남동구 정각로 29,21554,(032)120,incheon.go.kr
,,,,
중구,중구 신포로 27번길 80,22315,760-7114,icjg.go.kr
동구,동구 금곡로 67,22556,770-6114,icdonggu.go.kr
남구,남구 독정이로 95,22169,887-1011,namgu.incheon.kr
연수구,연수구 원인재로 115,21967,749-7114,yeonsu.go.kr
남동구,남동구 소래로 633,21589,466-3811,namdong.go.kr
부평구,부평구 부평대로 168,21354,509-6114,icbp.go.kr
계양구,계양구 계산새로 88,21067,551-5701,gyeyang.go.kr
서구,서구 서곶로 307,22726,562-5301,seo.incheon.kr
강화군,강화군 강화읍 강화대로 394,23031,930-3114,ganghwa.go.kr
옹진군,남구 매소홀로 120,22193,899-2114,ongjin.go.kr
,,,,
광주광역시,서구 내방로 111,61945,(062)120,gwangju.go.kr
,,,,
동구,동구 서남로 1,61466,608-2114,donggu.kr
서구,서구 경열로 33,61928,365-4114,seogu.gwangju.kr
남구,남구 봉선로 1,61687,651-9020,namgu.gwangju.kr
북구,북구 우치로 77,61187,510-1500,bukgu.gwangju.kr
광산구,광산구 광산로29번길 15,62430,960-8114,gwangsan.go.kr
;,,,,
,,,,
,,,,
,,,,
;[4],,,,
구분,소      재      지,우편번호,대표전화,홈페이지 (www.-.-.-)
대전광역시,서구 둔산로 100,35242,(042)120,daejeon.go.kr
,,,,
동구,동구 동구청로 147,34691,251-4114,donggu.go.kr
중구,중구 중앙로 100,34939,606-6114,djjunggu.go.kr
서구,서구 둔산서로 100,35238,611-6114,seogu.go.kr
유성구,유성구 대학로 211,34139,611-2114,yuseong.go.kr
대덕구,대덕구 대전로 1033번길 20,34443,608-6114,daedeok.go.kr
,,,,
울산광역시,남구 중앙로 201,44675,(052)120,ulsan.go.kr
,,,,
중구,중구 단장골길 1,44475,290-3000,junggu.ulsan.kr
남구,남구 돋질로 233,44701,275-7541,ulsannamgu.go.kr
동구,동구 봉수로 155,44021,209-3000,donggu.ulsan.kr
북구,북구 산업로 1010,44248,241-7000,bukgu.ulsan.kr
울주군,남구 문수로 382,44663,229-7000,ulju.ulsan.kr
,,,,
세종특별자치시,한누리대로 2130 (제1청사) 군청로 93 (제2청사),30151 30033,(044)120 300-3114,sejong.go.kr
,,,,
경기도,수원시 팔달구 효원로 1,16444,(031)120,gg.go.kr
경기도북부청사,의정부시 청사로1 ,11780,(031)120,gg.go.kr
,,,,
수원시,수원시 팔달구 효원로 241,16490,1899-3300,suwon.go.kr
장안구,수원시 장안구 송원로 101,16295,1899-3300,jangan.suwon.go.kr
권선구,수원시 권선구 호매실로 12,16626,1899-3300,ksun.suwon.go.kr
팔달구,수원시 팔달구 창룡대로 23,16255,1899-3300,paldal.suwon.go.kr
영통구,수원시 영통구 효원로 407,16545,1899-3300,yt.suwon.go.kr
성남시,성남시 중원구 성남대로 997,13437,1577-3100,seongnam.go.kr
수정구,성남시 수정구 수정로 283,13259,1577-3100,sujeong-gu.or.kr
;,,,,
,,,,
,,,,
;[5],,,,
구분,소      재      지,우편번호,대표전화,홈페이지 (www.-.-.-)
중원구,성남시 중원구 제일로 36,13371,1577-3100,jungwon-gu.or.kr
분당구,성남시 분당구 분당로 50,13594,1577-3100,bundang-gu.go.kr
고양시,고양시 덕양구 고양시청로 10,10460,909-9000,goyang.go.kr
덕양구,고양시 덕양구 화중로104번길 13,10497,909-9000,goyang.go.kr/3gu/d_gu
일산동구,고양시 일산동구 중앙로 1256,10409,909-9000,goyang.go.kr/3gu/w_gu
일산서구,고양시 일산서구 중앙로 1542,10380,909-9000,goyang.go.kr/3gu/s_gu
용인시,용인시 처인구 중부대로 1199,17019,1577-1122,yongin.go.kr
처인구,용인시 처인구 금령로 50,17049,1577-1122,cheoingu.go.kr
기흥구,용인시 기흥구 관곡로 95,16963,1577-1122,giheunggu.go.kr
수지구,용인시 수지구 포은대로 435,16835,1577-1122,sujigu.go.kr
부천시,부천시 원미구 길주로 210,14547,(032)320-3000,bucheon.go.kr
안산시,안산시 단원구 화랑로 387,15335,1666-1234,iansan.net
상록구,안산시 상록구 석호로 110,15585,1666-1234,sangnok-gu.iansan.net
단원구,안산시 단원구 중앙대로 685,15396,1666-1234,danwon-gu.iansan.net
안양시,안양시 동안구 시민대로 235,14053,8045-2114,anyang.go.kr
만안구,안양시 만안구 안양로 128,14034,8045-3114,manan.anyang.go.kr
동안구,안양시 동안구 동안로 158,14047,8045-4114,dongan.anyang.go.kr
남양주시,남양주시 경춘로 1037,12232,592-4900,nyj.go.kr
남양주시(2청사),남양주시 경춘로 522,12249,592-4900,nyj.go.kr
화성시,화성시 남양읍 시청로 159,18274,1577-4200,hscity.go.kr
평택시,평택시 경기대로 245,17901,8024-5000,pyeongtaek.go.kr
의정부시,의정부시 시민로 1 ,11622,828-2114,ui4u.go.kr
시흥시,시흥시 시청로 20,14998,310-2114,siheung.go.kr
;,,,,
,,,,
,,,,
;[6],,,,
구분,소      재      지,우편번호,대표전화,홈페이지 (www.-.-.-)
파주시,파주시 시청로 50,10932,940-4114,paju.go.kr
광명시,광명시 시청로 20,14234,1688-3399,gm.go.kr
김포시,김포시 사우중로 1,10109,980-2114,gimpo.go.kr
군포시,군포시 청백리길 6,15835,392-3000,gunpo.go.kr
광주시,광주시 행정타운로 50,12738,760-2000,gjcity.go.kr
이천시,이천시 부악로 40,17379,644-2000,icheon.go.kr
양주시,양주시 부흥로 1533,11498,8082-4114,yangju.go.kr
오산시,오산시 성호대로 141,18132,8036-8036,osan.go.kr
구리시,구리시 아차산로 439,11954,557-1010,guri.go.kr
안성시,안성시 시청길 25,17586,678-2114,anseong.go.kr
포천시,포천시 중앙로 87,11147,538-2114,pcs21.go.kr
의왕시,의왕시 시청로 11,16075,345-2114,uw21.net
하남시,하남시 대청로 10,12951,790-6114,hanam.go.kr
여주시,여주시 세종로 1,12619,883-2114,yeoju.go.kr
양평군,양평군 양평읍 군청앞길 2,12554,773-5101,yp21.go.kr
동두천시,동두천시 방죽로 23 ,11317,860-2114,ddc.go.kr
과천시,과천시 관문로 69,13806,(02)502-5001,gccity.go.kr
가평군,가평군 가평읍 석봉로 181,12417,580-2114,gp.go.kr
연천군,연천군 연천읍 연천로 220,11017,839-2114,yeoncheon.go.kr
,,,,
